Product Title,Product Price,Product Asin,Product URL
Logitech G402 Hyperion Fury FPS Gaming Mouse,$135.77,B00LZVNWIA,https://www.amazon.com/Logitech-G402-Hyperion-Gaming-Mouse/dp/B00LZVNWIA/ref=sr_1_19?m=A3DQZEP4SGW5UA&qid=1699704011&s=merchant-items&sr=1-19
Logitech G USB Pro Flight Instrument Panel,$135.77,B01LYE4J1C,https://www.amazon.com/Logitech-Saitek-Flight-Instrument-Panel/dp/B01LYE4J1C/ref=sr_1_20?m=A3DQZEP4SGW5UA&qid=1699704011&s=merchant-items&sr=1-20
"Logitech G PRO Flight Yoke System, Professional Simulation Yoke and Throttle Quadrant, 3 Modes, 75 Programmable Controls, Configurable Throttle Knobs, Steel Shaft, USB, PC - Black",$135.77,B01M00OQBE,https://www.amazon.com/Logitech-Saitek-Flight-Yoke-System/dp/B01M00OQBE/ref=sr_1_21?m=A3DQZEP4SGW5UA&qid=1699704011&s=merchant-items&sr=1-21
"Seagate Game Drive for Playstation Consoles 4TB External Hard Drive - USB 3.2 Gen 1, Officially-Licensed (STLL4000100)",$135.77,B09XWLV43B,https://www.amazon.com/Seagate-Drive-Playstation-Consoles-External/dp/B09XWLV43B/ref=sr_1_22?m=A3DQZEP4SGW5UA&qid=1699704011&s=merchant-items&sr=1-22
SupaBoy Portable Pocket Console For Super NES® / Super Famicom™,$135.77,B0B89MYGDY,https://www.amazon.com/SupaBoy-Portable-Console-Super-FamicomTM-Nintendo/dp/B0B89MYGDY/ref=sr_1_23?m=A3DQZEP4SGW5UA&qid=1699704011&s=merchant-items&sr=1-23
"MSI Vigor GK30 RGB Gaming Keyboard, 6-Zone RGB Lighting, Water Repellent & Splash-Proof, Mechanical-Like Plunger Switches, Black",$135.77,B07WJJC45T,https://www.amazon.com/MSI-Anti-Ghosting-Mechanical-Vigor-GK30/dp/B07WJJC45T/ref=sr_1_24?m=A3DQZEP4SGW5UA&qid=1699704011&s=merchant-items&sr=1-24
"MSI Vigor GK50 Elite LL Mechanical Gaming Keyboard - Kailh Blue Switches (Clicky), Ergonomic Keycaps, Brushed Metal Finish, Anti-Slip Base, Per-Key RGB Mystic Light, USB 2.0 - Full-Sized",$135.77,B08K2PZP42,https://www.amazon.com/MSI-VIDEO-VIGORGK50ELL-VIGOR-Switch/dp/B08K2PZP42/ref=sr_1_25?m=A3DQZEP4SGW5UA&qid=1699704011&s=merchant-items&sr=1-25
Movo ACM400 Flexible Gooseneck Omnidirectional Microphone for Motovlogging Moto Vlog Action Cam Helmet Mic - Clip on Microphone for Motorcycle Vloggers - Compatible with GoPro Media Mod,$135.77,B01MUBGX5F,https://www.amazon.com/Movo-ACM400-Omnidirectional-Microphone-Mirrorless/dp/B01MUBGX5F/ref=sr_1_26?m=A3DQZEP4SGW5UA&qid=1699704011&s=merchant-items&sr=1-26
"MSI Clutch GM20 Elite Gaming Mouse, 6400 DPI, 20M+ Clicks OMRON Switch, Optical Sensor, Adjustable Weights, Ergonomic Right Hand Design, RGB Mystic Light",$135.77,B08LG4LKKQ,https://www.amazon.com/MSI-CLUTCHGM20-Adjustable-Desktop-Optical/dp/B08LG4LKKQ/ref=sr_1_27?m=A3DQZEP4SGW5UA&qid=1699704011&s=merchant-items&sr=1-27
Hyperkin Hyperkin Duke Wired Controller for Xbox Series X|S/Xbox One/Windows 10 (Xbox 20th Anniversary Limited Edition) (White) - Officially Licensed by Xbox - Xbox;,$135.77,B09FYFT4NN,https://www.amazon.com/Hyperkin-Wired-Controller-Windows-Anniversary-Limited/dp/B09FYFT4NN/ref=sr_1_28?m=A3DQZEP4SGW5UA&qid=1699704011&s=merchant-items&sr=1-28
Hyperkin Duke Wired Controller for Xbox Series X|S/Xbox One/Windows 10 (Xbox 20th Anniversary Limited Edition) (Black) - Officially Licensed by Xbox,$135.77,B09FYJF6XY,https://www.amazon.com/Hyperkin-Controller-Windows-Anniversary-Limited-x/dp/B09FYJF6XY/ref=sr_1_29?m=A3DQZEP4SGW5UA&qid=1699704011&s=merchant-items&sr=1-29
